Quotazioni Immobiliari : Valori di Mercato - Semestre 2025/1 - elaborazione del 21-FEB-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B1;BZ00000039;20;Abitazioni civili;OTTIMO; ;5100;6500;L;17;21,7;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B1;BZ00000039;20;Abitazioni civili;NORMALE;P;4400;5100;L;14,7;17;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B1;BZ00000039;13;Box;NORMALE;P;2500;3300;L;10,4;13,8;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B1;BZ00000039;14;Posti auto coperti;NORMALE;P;2000;3000;L;7,4;11;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B1;BZ00000039;15;Posti auto scoperti;NORMALE;P;1300;2000;L;4,3;6,7;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B1;BZ00000039;9;Magazzini;NORMALE;P;1150;1450;L;2,7;3,4;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B1;BZ00000039;9;Magazzini;OTTIMO; ;1300;1700;L;3;4;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B1;BZ00000039;5;Negozi;NORMALE;P;2800;5100;L;11,7;21,3;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B1;BZ00000039;5;Negozi;OTTIMO; ;5100;6400;L;21,3;24;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B1;BZ00000039;6;Uffici;OTTIMO; ;4100;4900;L;13,7;16,3;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B1;BZ00000039;6;Uffici;NORMALE;P;3500;4100;L;11,7;13,7;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B1;BZ00000039;18;Uffici strutturati;OTTIMO;P;3300;4100;L;8,3;12;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B1;BZ00000039;10;Laboratori;OTTIMO; ;2400;3200;L;9;12;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B1;BZ00000039;10;Laboratori;NORMALE;P;2200;2600;L;8,3;9,8;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B2;BZ00000040;20;Abitazioni civili;OTTIMO; ;3700;5000;L;12,3;16,7;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B2;BZ00000040;20;Abitazioni civili;NORMALE;P;2900;3700;L;9,7;12,3;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B2;BZ00000040;13;Box;NORMALE;P;2200;3000;L;8,3;11,3;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B2;BZ00000040;14;Posti auto coperti;NORMALE;P;1850;2500;L;6,9;9,4;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B2;BZ00000040;15;Posti auto scoperti;NORMALE;P;1100;1500;L;4,2;5,6;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B2;BZ00000040;9;Magazzini;NORMALE;P;1100;1450;L;2,6;3,7;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B2;BZ00000040;9;Magazzini;OTTIMO; ;1250;1650;L;2,9;3,9;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B2;BZ00000040;5;Negozi;NORMALE;P;2600;3200;L;7,7;9,1;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B2;BZ00000040;5;Negozi;OTTIMO; ;3200;3900;L;8,3;10,2;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B2;BZ00000040;6;Uffici;NORMALE;P;2700;3600;L;6,5;10;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B2;BZ00000040;6;Uffici;OTTIMO; ;3400;4200;L;8,1;10,6;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B2;BZ00000040;10;Laboratori;OTTIMO; ;1850;2400;L;6,9;8,9;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B2;BZ00000040;10;Laboratori;NORMALE;P;1650;1950;L;6,2;8;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B3;BZ00000041;20;Abitazioni civili;OTTIMO; ;4600;5700;L;12;15;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B3;BZ00000041;20;Abitazioni civili;NORMALE;P;3800;4600;L;10;11,5;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B3;BZ00000041;13;Box;NORMALE;P;2100;2800;L;7;9,3;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B3;BZ00000041;14;Posti auto coperti;NORMALE;P;1600;2000;L;5,3;6,7;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B3;BZ00000041;15;Posti auto scoperti;NORMALE;P;1150;1600;L;4,3;6,1;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B3;BZ00000041;9;Magazzini;NORMALE;P;1200;1450;L;3;3,7;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B3;BZ00000041;9;Magazzini;OTTIMO; ;1350;1800;L;3,4;4,5;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B3;BZ00000041;5;Negozi;NORMALE;P;2300;3300;L;7,7;12,4;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B3;BZ00000041;5;Negozi;OTTIMO; ;3000;4500;L;10;15;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B3;BZ00000041;6;Uffici;NORMALE;P;2600;3300;L;8;13;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B3;BZ00000041;6;Uffici;OTTIMO; ;3300;3800;L;10,7;18;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B3;BZ00000041;10;Laboratori;OTTIMO; ;1800;2700;L;6;9;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B3;BZ00000041;10;Laboratori;NORMALE;P;1600;2200;L;5,3;8,3;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B4;BZ00001629;20;Abitazioni civili;OTTIMO; ;5700;8000;L;16,6;23,3;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B4;BZ00001629;20;Abitazioni civili;NORMALE;P;4400;5700;L;12,8;16,6;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B4;BZ00001629;13;Box;NORMALE;P;2250;3200;L;7,5;10,7;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B4;BZ00001629;14;Posti auto coperti;NORMALE;P;1600;2400;L;5,4;8;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B4;BZ00001629;15;Posti auto scoperti;NORMALE;P;1150;1600;L;3,8;6;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B4;BZ00001629;1;Ville e Villini;OTTIMO; ;6000;8600;L;15;21,5;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B4;BZ00001629;1;Ville e Villini;NORMALE;P;4600;6000;L;11,5;17,5;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B4;BZ00001629;5;Negozi;NORMALE;P;3100;3600;L;9,6;11,5;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B4;BZ00001629;5;Negozi;OTTIMO; ;3600;4500;L;10,5;13,1;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B4;BZ00001629;6;Uffici;NORMALE;P;4200;4800;L;10,5;12;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B4;BZ00001629;6;Uffici;OTTIMO; ;4600;5600;L;11,5;14;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B5;BZ00001630;20;Abitazioni civili;OTTIMO; ;5700;7000;L;19;20,4;L;
NORD-EST;TRENTINO-ALTO ADIGE;BZ;4021008;E2AA; ;A952;BOLZANO .BOZEN.;B;B5;BZ00001630;20;Abitazioni civili;NORMALE;P;4700;5700;L;13,7;19;L;
