Quotazioni Immobiliari : Valori di Mercato - Semestre 2025/1 - elaborazione del 21-FEB-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B2;AO00000865;20;Abitazioni civili;SCADENTE; ;1200;1650;L;6;9;L;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B2;AO00000865;20;Abitazioni civili;OTTIMO; ;2500;3500;L;10,6;14,6;L;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B2;AO00000865;20;Abitazioni civili;NORMALE;P;1700;2500;L;7,4;10,8;L;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B2;AO00000865;21;Abitazioni di tipo economico;NORMALE;P;1300;1900;L;6,4;9,4;L;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B2;AO00000865;21;Abitazioni di tipo economico;SCADENTE; ;900;1300;L;5,8;7,2;L;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B2;AO00000865;13;Box;NORMALE;P;1900;2700;L;5,6;7,9;L;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B2;AO00000865;14;Posti auto coperti;NORMALE;P;1200;1600;L;;;;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B2;AO00000865;15;Posti auto scoperti;NORMALE;P;800;1000;L;3,6;4,5;L;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B2;AO00000865;5;Negozi;OTTIMO; ;2400;3500;L;23;34;L;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B2;AO00000865;5;Negozi;NORMALE;P;1600;2400;L;18;27;L;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B2;AO00000865;6;Uffici;OTTIMO; ;1900;2800;L;12,4;16,2;L;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B2;AO00000865;6;Uffici;NORMALE;P;1500;2200;L;8,5;12,5;L;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B5;AO00009538;20;Abitazioni civili;SCADENTE; ;1250;1750;L;5,6;7,8;L;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B5;AO00009538;20;Abitazioni civili;OTTIMO; ;2200;3300;L;8,1;11,3;L;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B5;AO00009538;20;Abitazioni civili;NORMALE;P;1600;2400;L;6,2;9,3;L;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B5;AO00009538;21;Abitazioni di tipo economico;NORMALE;P;1200;1800;L;5,6;7,8;L;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B5;AO00009538;21;Abitazioni di tipo economico;SCADENTE; ;1000;1400;L;4,4;6,5;L;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B5;AO00009538;13;Box;NORMALE;P;1600;2400;L;4,7;6,9;L;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B5;AO00009538;14;Posti auto coperti;NORMALE;P;1000;1400;L;;;;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B5;AO00009538;15;Posti auto scoperti;NORMALE;P;650;950;L;;;;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B5;AO00009538;5;Negozi;OTTIMO; ;1500;2200;L;13;19,5;L;
NORD-OVEST;VALLE D'AOSTA/VALLE`E D'AOSTE;AO;2007003;B1AA; ;A326;AOSTA;B;B5;AO00009538;5;Negozi;NORMALE;P;1150;1700;L;11,5;17;L;
