Quotazioni Immobiliari : Valori di Mercato - Semestre 2025/1 - elaborazione del 21-FEB-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;B;B1;AR00000766;20;Abitazioni civili;OTTIMO; ;2500;2850;L;8,2;10;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;B;B1;AR00000766;20;Abitazioni civili;NORMALE;P;1600;2000;L;6;7,2;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;B;B1;AR00000766;20;Abitazioni civili;SCADENTE; ;1100;1450;L;4;5,5;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;B;B1;AR00000766;21;Abitazioni di tipo economico;NORMALE;P;1000;1350;L;3,5;5;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;B;B1;AR00000766;13;Box;NORMALE;P;1250;1650;L;6,8;9,3;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;B;B1;AR00000766;1;Ville e Villini;NORMALE;P;2150;2600;L;6,5;8,2;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;B;B1;AR00000766;9;Magazzini;NORMALE;P;1200;1800;L;5,7;9;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;B;B1;AR00000766;5;Negozi;OTTIMO;P;3200;5200;L;21;36;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;B;B1;AR00000766;5;Negozi;NORMALE; ;1900;3300;L;12,2;20;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;B;B1;AR00000766;6;Uffici;NORMALE;P;1300;1800;L;5,4;8;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;B;B1;AR00000766;10;Laboratori;NORMALE;P;1200;1850;L;6;9,5;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C2;AR00000772;20;Abitazioni civili;OTTIMO; ;2100;2400;L;7;8,4;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C2;AR00000772;20;Abitazioni civili;NORMALE;P;1250;1500;L;4,9;6,3;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C2;AR00000772;21;Abitazioni di tipo economico;NORMALE;P;1000;1200;L;3,5;4,3;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C2;AR00000772;13;Box;NORMALE;P;950;1300;L;4,8;6,9;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C2;AR00000772;1;Ville e Villini;NORMALE;P;1700;2100;L;5,4;7,2;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C2;AR00000772;9;Magazzini;NORMALE;P;950;1450;L;4,7;7,5;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C2;AR00000772;5;Negozi;OTTIMO; ;1800;2400;L;11;15;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C2;AR00000772;5;Negozi;NORMALE;P;1250;1900;L;7,5;12,6;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C2;AR00000772;6;Uffici;NORMALE;P;1200;1600;L;5,5;7,5;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C2;AR00000772;10;Laboratori;NORMALE;P;1000;1600;L;5;8;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C3;AR00000773;20;Abitazioni civili;NORMALE;P;1300;1600;L;4,9;6,2;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C3;AR00000773;20;Abitazioni civili;OTTIMO; ;2200;2500;L;6,8;7,9;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C3;AR00000773;21;Abitazioni di tipo economico;NORMALE;P;950;1250;L;3,5;5;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C3;AR00000773;13;Box;NORMALE;P;850;1250;L;4,5;6,6;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C3;AR00000773;1;Ville e Villini;NORMALE;P;1600;2100;L;5,3;7,1;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C3;AR00000773;9;Magazzini;NORMALE;P;900;1450;L;4,6;7,2;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C3;AR00000773;5;Negozi;NORMALE;P;1150;2150;L;6,9;13,2;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C3;AR00000773;6;Uffici;NORMALE;P;1150;1650;L;5,4;7,8;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C3;AR00000773;10;Laboratori;NORMALE;P;950;1550;L;4,8;8;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C52;AR00009790;20;Abitazioni civili;OTTIMO; ;1950;2300;L;6,2;7,4;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C52;AR00009790;20;Abitazioni civili;NORMALE;P;1100;1450;L;3,8;5;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C52;AR00009790;21;Abitazioni di tipo economico;NORMALE;P;950;1250;L;3,3;4,3;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C52;AR00009790;13;Box;NORMALE;P;750;1050;L;3,9;5,5;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C52;AR00009790;1;Ville e Villini;NORMALE;P;1500;1900;L;4,7;6,3;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C52;AR00009790;1;Ville e Villini;OTTIMO; ;2200;2600;L;6,2;7,8;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C52;AR00009790;9;Magazzini;NORMALE;P;750;1250;L;3,6;6,4;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C52;AR00009790;5;Negozi;NORMALE;P;950;1450;L;5;8;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C52;AR00009790;6;Uffici;NORMALE;P;1100;1500;L;5;7;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C52;AR00009790;10;Laboratori;NORMALE;P;750;1350;L;3,8;7;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C53;AR00009828;20;Abitazioni civili;OTTIMO; ;2450;2750;L;7,3;8,8;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C53;AR00009828;20;Abitazioni civili;NORMALE;P;1450;1750;L;5,1;6,4;L;
CENTRO;TOSCANA;AR;9051002;I2AA; ;A390;AREZZO;C;C53;AR00009828;21;Abitazioni di tipo economico;NORMALE;P;1100;1450;L;3,9;5,3;L;
