Quotazioni Immobiliari : Informazioni di Zona OMI - Semestre 2025/1 - elaborazione del 21-FEB-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona_Descr;Zona;LinkZona;Cod_tip_prev;Descr_tip_prev;Stato_prev;Microzona;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;'V. FELTRE - S. GERVASIO - V.LE EUROPA - MUSSOI - CAVARZANO - NOGARE - BALDENICH - STAZIONE F.S.';B1;BL00000030;20;Abitazioni civili;N;2;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;B;'CENTRALE: VIA PIAVE, SAN BIAGIO, LA CERVA, PIAZZALE MARCONI, PIAZZA MARTIRI';B2;BL00001762;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;'PERIFERIA OVEST';D3;BL00011238;20;Abitazioni civili;N;;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;D;'PERIFERIA EST';D4;BL00011814;20;Abitazioni civili;N;;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;'ZONA TURISTICA NEVEGAL';E2;BL00000034;20;Abitazioni civili;N;3;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;'CASTION-FAVERGA-CALEIPO SOSSAI';E4;BL00011075;20;Abitazioni civili;N;;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;'NUCLEI ABITATI NORD';E5;BL00011228;20;Abitazioni civili;N;;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;E;'SOIS';E6;BL00011805;20;Abitazioni civili;N;;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;R;'EXTRAURBANA VALLE';R2;BL00010969;0;Non presente;0;;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;R;'RURALE MONTANA NORD';R3;BL00011812;0;Non presente;0;;
NORD-EST;VENETO;BL;5025006;D2AA; ;A757;BELLUNO;R;'RURALE MONTANA SUD';R4;BL00011813;0;Non presente;0;;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;B;'CENTRALE PREGIATA';B2;BL00001760;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;B;'ZONA CENTRALE';B3;BL00010698;20;Abitazioni civili;N;;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;D;'ZONA PERIFERICA NORD';D2;BL00010699;20;Abitazioni civili;N;;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;D;'ZONA PERIFERICA SUD';D3;BL00010700;20;Abitazioni civili;N;;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;E;'NUCLEI FRAZIONALI';E1;BL00000062;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;R;'AREA RURALE OVEST';R2;BL00010687;238;Boschi;0;;
NORD-EST;VENETO;BL;5025001;D2AB; ;A083;AGORDO;R;'AREA RURALE EST';R3;BL00010688;238;Boschi;0;;
NORD-EST;VENETO;BL;5025003;D2AD; ;A206;ALLEGHE;B;'CENTRALE';B1;BL00000093;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025003;D2AD; ;A206;ALLEGHE;E;'NUCLEI FRAZIONALI';E1;BL00000095;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025003;D2AD; ;A206;ALLEGHE;R;'RURALE';R1;BL00002069;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025016;D2AE; ;A266;CORTINA D`AMPEZZO;B;'CENTRALE';B1;BL00000119;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025016;D2AE; ;A266;CORTINA D`AMPEZZO;B;'CENTRALE: VIA ROMA, CORSO ITALIA, VIA BUZZATI';B2;BL00001763;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025016;D2AE; ;A266;CORTINA D`AMPEZZO;D;'PERIFERICA';D1;BL00000121;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025016;D2AE; ;A266;CORTINA D`AMPEZZO;R;'RURALE';R1;BL00002167;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025004;D2AF; ;A443;ARSIE`;B;'CENTRALE CAPOLUOGO';B1;BL00000136;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025004;D2AF; ;A443;ARSIE`;E;'FRAZIONI DI MELLAME, RIVAI';E1;BL00000138;20;Abitazioni civili;N;2;
NORD-EST;VENETO;BL;5025004;D2AF; ;A443;ARSIE`;E;'SUBURBANA FRAZIONE DI ROCCA';E4;BL00002003;20;Abitazioni civili;N;2;
NORD-EST;VENETO;BL;5025004;D2AF; ;A443;ARSIE`;E;'FRAZIONI PASTRO';E5;BL00010734;20;Abitazioni civili;N;;
NORD-EST;VENETO;BL;5025004;D2AF; ;A443;ARSIE`;E;'FRAZIONI SAN VITO';E6;BL00010748;20;Abitazioni civili;N;;
NORD-EST;VENETO;BL;5025004;D2AF; ;A443;ARSIE`;R;'RURALE';R1;BL00002071;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025005;D2AG; ;A501;AURONZO DI CADORE;B;'CENTRALE';B1;BL00000167;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025005;D2AG; ;A501;AURONZO DI CADORE;B;'CENTRALE PREGIATA';B2;BL00001761;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025005;D2AG; ;A501;AURONZO DI CADORE;D;'PERIFERICA';D1;BL00000169;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025005;D2AG; ;A501;AURONZO DI CADORE;E;'TURISTICA MISURINA';E2;BL00000171;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025005;D2AG; ;A501;AURONZO DI CADORE;E;'INDUSTRIALE';E3;BL00002076;7;Capannoni tipici;N;0;
NORD-EST;VENETO;BL;5025005;D2AG; ;A501;AURONZO DI CADORE;R;'RURALE';R1;BL00002075;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025007;D2AH; ;A982;BORCA DI CADORE;B;'CENTRALE';B1;BL00000185;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025007;D2AH; ;A982;BORCA DI CADORE;D;'PERIFERICA';D1;BL00000186;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025007;D2AH; ;A982;BORCA DI CADORE;R;'RURALE';R1;BL00002077;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025008;D2AI; ;B375;CALALZO DI CADORE;B;'CENTRALE';B1;BL00000201;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025008;D2AI; ;B375;CALALZO DI CADORE;R;'RURALE';R1;BL00002078;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025023;D2AJ; ;B574;CANALE D`AGORDO;B;'CENTRALE';B1;BL00000217;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025023;D2AJ; ;B574;CANALE D`AGORDO;E;'FRAZIONI DI FEDER E FREGONA';E2;BL00002260;20;Abitazioni civili;N;0;
NORD-EST;VENETO;BL;5025023;D2AJ; ;B574;CANALE D`AGORDO;R;'RURALE';R1;BL00002209;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025040;D2AK; ;B662;PONTE NELLE ALPI;B;'CENTRALE';B1;BL00000237;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025040;D2AK; ;B662;PONTE NELLE ALPI;D;'PERIFERIA:  ZONA DESTRA PIAVE';D1;BL00000238;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025040;D2AK; ;B662;PONTE NELLE ALPI;E;'NUCLEI FRAZIONALI';E1;BL00000239;20;Abitazioni civili;N;2;
NORD-EST;VENETO;BL;5025040;D2AK; ;B662;PONTE NELLE ALPI;R;'RURALE';R1;BL00001961;0;Non presente; ;2;
NORD-EST;VENETO;BL;5025010;D2AM; ;C458;CENCENIGHE AGORDINO;B;'CENTRALE';B1;BL00000276;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025010;D2AM; ;C458;CENCENIGHE AGORDINO;D;'PERIFERICA';D1;BL00000277;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025010;D2AM; ;C458;CENCENIGHE AGORDINO;R;'RURALE';R1;BL00002080;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025072;D2AO; ;M375;ALPAGO;B;'CENTRALE - FARRA D`ALPAGO';B1;BL00002422;20;Abitazioni civili;N;0;
NORD-EST;VENETO;BL;5025072;D2AO; ;M375;ALPAGO;B;'CENTRALE - PUOS D`ALPAGO';B2;BL00002421;20;Abitazioni civili;N;0;
NORD-EST;VENETO;BL;5025072;D2AO; ;M375;ALPAGO;B;'CENTRALE - PIEVE D`ALPAGO';B3;BL00002420;20;Abitazioni civili;N;0;
NORD-EST;VENETO;BL;5025072;D2AO; ;M375;ALPAGO;D;'PERIFERICA - FARRA D`ALPAGO E PUOS D`ALPAGO';D1;BL00002480;20;Abitazioni civili;N;0;
NORD-EST;VENETO;BL;5025072;D2AO; ;M375;ALPAGO;E;'ZONA INDUSTRIALE - PIEVE D`ALPAGO (PALUDI)';E1;BL00002461;8;Capannoni industriali;N;0;
NORD-EST;VENETO;BL;5025072;D2AO; ;M375;ALPAGO;E;'NUCLEI FRAZIONALI - FARRA D`ALPAGO';E2;BL00002440;20;Abitazioni civili;N;0;
NORD-EST;VENETO;BL;5025072;D2AO; ;M375;ALPAGO;E;'NUCLEI FRAZIONALI - PUOS D`ALPAGO';E3;BL00002500;20;Abitazioni civili;N;0;
NORD-EST;VENETO;BL;5025072;D2AO; ;M375;ALPAGO;E;'NUCLEI FRAZIONALI - PIEVE D`ALPAGO';E4;BL00002460;20;Abitazioni civili;N;0;
NORD-EST;VENETO;BL;5025072;D2AO; ;M375;ALPAGO;R;'RURALE';R1;BL00002423;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025011;D2AP; ;C577;CESIOMAGGIORE;B;'CENTRALE';B1;BL00000312;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025011;D2AP; ;C577;CESIOMAGGIORE;E;'NUCLEI FRAZIONALI';E1;BL00000314;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025011;D2AP; ;C577;CESIOMAGGIORE;R;'RURALE';R1;BL00002121;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025012;D2AQ; ;C630;CHIES D`ALPAGO;B;'CENTRALE';B1;BL00000328;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025012;D2AQ; ;C630;CHIES D`ALPAGO;E;'NUCLEI FRAZIONALI';E1;BL00000330;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025012;D2AQ; ;C630;CHIES D`ALPAGO;R;'RURALE';R1;BL00002123;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025013;D2AR; ;C672;CIBIANA DI CADORE;B;'CENTRALE';B1;BL00000344;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025013;D2AR; ;C672;CIBIANA DI CADORE;R;'RURALE';R1;BL00002023;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025014;D2AS; ;C872;COLLE SANTA LUCIA;B;'CENTRALE';B1;BL00000360;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025014;D2AS; ;C872;COLLE SANTA LUCIA;R;'RURALE';R1;BL00002022;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025050;D2AT; ;C919;SANTO STEFANO DI CADORE;B;'CENTRALE';B1;BL00000376;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025050;D2AT; ;C919;SANTO STEFANO DI CADORE;E;'FRAZIONE DI CAMPOLONGO';E1;BL00000379;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025050;D2AT; ;C919;SANTO STEFANO DI CADORE;E;'FRAZIONI DI COSTALISSOI, CASADA';E4;BL00001267;20;Abitazioni civili;N;2;
NORD-EST;VENETO;BL;5025050;D2AT; ;C919;SANTO STEFANO DI CADORE;R;'RURALE';R1;BL00002145;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025015;D2AU; ;C920;COMELICO SUPERIORE;B;'CENTRALE';B1;BL00000393;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025015;D2AU; ;C920;COMELICO SUPERIORE;R;'RURALE';R1;BL00002222;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025017;D2AV; ;D247;DANTA DI CADORE;B;'CENTRALE';B1;BL00000409;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025017;D2AV; ;D247;DANTA DI CADORE;R;'RURALE';R1;BL00002064;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025018;D2AW; ;D330;DOMEGGE DI CADORE;B;'CENTRALE';B1;BL00000425;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025018;D2AW; ;D330;DOMEGGE DI CADORE;D;'PERIFERICA';D1;BL00000426;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025018;D2AW; ;D330;DOMEGGE DI CADORE;R;'RURALE';R1;BL00002124;0;Non presente; ;0;
NORD-EST;VENETO;BL;5025019;D2AX; ;D470;FALCADE;B;'CENTRALE';B1;BL00000441;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025019;D2AX; ;D470;FALCADE;E;'NUCLEI FRAZIONALI';E1;BL00000443;20;Abitazioni civili;N;1;
NORD-EST;VENETO;BL;5025019;D2AX; ;D470;FALCADE;R;'RURALE';R1;BL00002140;0;Non presente; ;0;
