Quotazioni Immobiliari : Informazioni di Zona OMI - Semestre 2025/1 - elaborazione del 21-FEB-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona_Descr;Zona;LinkZona;Cod_tip_prev;Descr_tip_prev;Stato_prev;Microzona;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;'CENTRALE DI PREGIO';B1;BG00000020;20;Abitazioni civili;N;0;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;'CENTRALE (VIA VERDI, VIA DEI PARTIGIANI, VIA TASSO)';B2;BG00000021;20;Abitazioni civili;N;2;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;'CENTRALE (VIALE PAPA GIOVANNI, VIA PALEOCAPA ECC.)';B3;BG00001311;20;Abitazioni civili;N;0;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;'VIA SAN BERNARDINO ALTA, VIA MORONI ALTA, VIA PALAZZOLO';B4;BG00001312;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;'CITTA ALTA E COLLI';B6;BG00001652;20;Abitazioni civili;N;0;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;'VIA BROSETA. PORTA OSIO, VIA BASCHENIS';C12;BG00012023;19;Abitazioni signorili;N;0;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;'VIA ANGELO MAJ, VIA MADONNA DELLA NEVE, VIA BONO, BORGO PALAZZO ALTA';C13;BG00012065;19;Abitazioni signorili;N;;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;'BORGO PALAZZO BASSA, CIMITERO';C14;BG00012066;20;Abitazioni civili;N;;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;'PISCINE, VECCHIO OSPEDALE. SANTA LUCIA';C2;BG00000023;20;Abitazioni civili;N;0;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;'STADIO, CONCA FIORITA, QUARTIERE FINARDI VIALE GIULIO CESARE';C4;BG00000025;20;Abitazioni civili;N;0;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;'MALPENSATA  VIA AUTOSTRADA, VIA ZANICA, VIA GAVAZZENI CAMPAGNOLA NORD';C5;BG00000026;20;Abitazioni civili;N;0;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;'BORGO SANTA CATERINA';C7;BG00001314;1;Ville e Villini;N;0;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;'CANOVINE VIA SAN BERNARDINO  BASSA VIA CARNOVALI';C9;BG00001319;20;Abitazioni civili;N;4;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;'LORETO - LONGUELO';D1;BG00000027;20;Abitazioni civili;N;0;
